Artist Name,Title of Song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot_song,cluster
Tom Petty ,While My Guitar Gently Weeps,7DzktdAh3zTT5Li8vam9tt,0.21,0.85,7,-3.694,1,0.0587,0.287,0.00607,0.912,0.382,121.383,audio_features,spotify:track:7DzktdAh3zTT5Li8vam9tt,https://api.spotify.com/v1/tracks/7DzktdAh3zTT5Li8vam9tt,https://api.spotify.com/v1/audio-analysis/7DzktdAh3zTT5Li8vam9tt,380587,4,0,6
Sam Smith ,The Lighthouse Keeper,2WUVQQAsWvScEdBVilRYaR,0.394,0.17,0,-10.368,1,0.0451,0.889,0.0,0.105,0.315,130.721,audio_features,spotify:track:2WUVQQAsWvScEdBVilRYaR,https://api.spotify.com/v1/tracks/2WUVQQAsWvScEdBVilRYaR,https://api.spotify.com/v1/audio-analysis/2WUVQQAsWvScEdBVilRYaR,247493,3,0,1
Kendrick Lamar ,LUST.,06FCvd7rrRcF3DdvWH5Isp,0.678,0.562,3,-9.197,0,0.508,0.193,0.0,0.104,0.566,94.241,audio_features,spotify:track:06FCvd7rrRcF3DdvWH5Isp,https://api.spotify.com/v1/tracks/06FCvd7rrRcF3DdvWH5Isp,https://api.spotify.com/v1/audio-analysis/06FCvd7rrRcF3DdvWH5Isp,307880,4,0,5
MØ ,Drum,3VIJBrMpvimHEw5wtPh2wB,0.603,0.918,4,-6.652,0,0.0641,0.216,0.146,0.284,0.452,102.473,audio_features,spotify:track:3VIJBrMpvimHEw5wtPh2wB,https://api.spotify.com/v1/tracks/3VIJBrMpvimHEw5wtPh2wB,https://api.spotify.com/v1/audio-analysis/3VIJBrMpvimHEw5wtPh2wB,233639,4,0,5
Ty Dolla $ign ,Love U Better,7iLKcfiaAYiGfnC7KQpy2X,0.627,0.562,10,-6.268,0,0.0364,0.0628,0.0,0.31,0.389,95.054,audio_features,spotify:track:7iLKcfiaAYiGfnC7KQpy2X,https://api.spotify.com/v1/tracks/7iLKcfiaAYiGfnC7KQpy2X,https://api.spotify.com/v1/audio-analysis/7iLKcfiaAYiGfnC7KQpy2X,181872,4,0,5
Ski Mask The Slump God ,Foot Fungus,3EikYy40GMSp8l5mDV6IQo,0.881,0.623,1,-9.662,1,0.119,0.257,1.5e-06,0.0964,0.745,88.953,audio_features,spotify:track:3EikYy40GMSp8l5mDV6IQo,https://api.spotify.com/v1/tracks/3EikYy40GMSp8l5mDV6IQo,https://api.spotify.com/v1/audio-analysis/3EikYy40GMSp8l5mDV6IQo,129547,4,0,5
Fiona Apple ,Rack of His,17QLp5uadHptxnmq9clK8U,0.44,0.619,7,-9.846,1,0.112,0.831,0.00113,0.101,0.552,94.968,audio_features,spotify:track:17QLp5uadHptxnmq9clK8U,https://api.spotify.com/v1/tracks/17QLp5uadHptxnmq9clK8U,https://api.spotify.com/v1/audio-analysis/17QLp5uadHptxnmq9clK8U,222307,4,0,5
Nat King Cole ,The Christmas Song (Merry Christmas To You)  Remastered 1999,5xzETaJgoicv0snhKFwnfa,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,audio_features,spotify:track:5xzETaJgoicv0snhKFwnfa,https://api.spotify.com/v1/tracks/5xzETaJgoicv0snhKFwnfa,https://api.spotify.com/v1/audio-analysis/5xzETaJgoicv0snhKFwnfa,192160,5,0,0
benny blanco ,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,0.541,0.468,10,-4.039,0,0.362,0.404,3.65e-06,0.358,0.69,95.266,audio_features,spotify:track:1WSGTYKLEpKfNQYYW5Oymt,https://api.spotify.com/v1/tracks/1WSGTYKLEpKfNQYYW5Oymt,https://api.spotify.com/v1/audio-analysis/1WSGTYKLEpKfNQYYW5Oymt,158027,4,0,5
DaBaby ,SOCKS,060dZ7q9HN8nAS2zn2hwo5,0.892,0.53,1,-6.564,1,0.62,0.0543,0.0,0.151,0.492,140.969,audio_features,spotify:track:060dZ7q9HN8nAS2zn2hwo5,https://api.spotify.com/v1/tracks/060dZ7q9HN8nAS2zn2hwo5,https://api.spotify.com/v1/audio-analysis/060dZ7q9HN8nAS2zn2hwo5,171124,4,0,1
